"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
695,"NCT04410159","Povidone-Iodine Vs Essential Oil Vs Tap Water Gargling For COVID-19 Patients","GARGLES","Recruiting","No Results Available","COVID-19","Drug: Povidone-Iodine|Drug: Essential oils|Other: Tap water","Early Viral Clearance|Late viral clearance|Symptoms progression|Disease Progression|Disease Progression 2","Universiti Sains Islam Malaysia|Universiti Kebangsaan Malaysia Medical Centre","All","18 Years and older   (Adult, Older Adult)","Phase 2","20","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","USIMalaysia","June 22, 2020","July 15, 2020","August 15, 2020","June 1, 2020",,"June 25, 2020","Universiti Kebangsaan Malaysia Medical Centre, Bandar Tun Razak, Wilayah Persekutuan Kuala Lumpur, Malaysia",,"https://ClinicalTrials.gov/show/NCT04410159"
696,"NCT04357990","Kerecis Oral and Nasal Spray for Treating the Symptoms of COVID-19","KONS-COVID-19","Recruiting","No Results Available","COVID-19","Device: Kerecis Oral and Nasal Spray|Other: Placebo","Number of days until complete resolution of symptoms per group|Number of hospital admissions per group|Number of days until a reduction in symptoms per group|Number of adverse events per group","Kerecis Ltd.","All","18 Years and older   (Adult, Older Adult)","Not Applicable","81","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","KS-0470","May 1, 2020","July 2020","July 2020","April 22, 2020",,"May 6, 2020","National Hospital of Iceland (Landspítali), Reykjavík, Iceland",,"https://ClinicalTrials.gov/show/NCT04357990"
697,"NCT04368013","Host-pathogen Interactions, Immune Response, and Clinical Prognosis at COVID-19 - the CoVUm Trial","CoVUm","Not yet recruiting","No Results Available","COVID-19","Procedure: Extended sampling and procedures","Mortality","Johan Normark|Umeå University|Västerbotten County Council","All","15 Years to 100 Years   (Child, Adult, Older Adult)","Not Applicable","400","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Screening","CoVUm","April 28, 2020","April 14, 2026","April 14, 2026","April 29, 2020",,"April 29, 2020","Incectious Diseases Clinic, Umeå, Västerbotten, Sweden",,"https://ClinicalTrials.gov/show/NCT04368013"
698,"NCT04368221","Characterization of Fungal Infections in COVID-19 Infected and Mechanically Ventilated Patients in ICU","MY-CO-VID","Not yet recruiting","No Results Available","Covid-19",,"Opportunistic fungal co-infections.|Median time|Time between diagnosis and targeted treatment|Preventive strategies","Rennes University Hospital","All","18 Years and older   (Adult, Older Adult)",,"250","Other","Observational","Observational Model: Cohort|Time Perspective: Other","35RC20_8885_MY_CO_VID","May 2020","May 2021","May 2021","April 29, 2020",,"May 13, 2020","CHU Angers, Angers, France|CHU de Brest, Brest, France|CHU de Dijon, Dijon, France|CHU Grenoble, Grenoble, France|CHU Lille, Lille, France|CHU Lyon, Lyon, France|CHU Marseille, Marseille, France|CHU Nantes, Nantes, France|CHU de Nice, Nice, France|CHU Paris - Avicenne, Paris, France|CHU Paris - Bichat, Paris, France|CHU Paris - HEGP, Paris, France|CHU Paris - Mondor, Paris, France|CHU Paris - Tenon, Paris, France|Hôpital Lariboisière/ St Louis, Paris, France|Hôpital Necker-Enfants Malades, Paris, France|Hôpital Pitié-Salpêtrière, Paris, France|CHU Poitiers, Poitiers, France|CHU Rennes, Rennes, France|CHU Strasbourg, Strasbourg, France|CHU Toulouse, Toulouse, France|CHU Tours, Tours, France",,"https://ClinicalTrials.gov/show/NCT04368221"
699,"NCT04393311","Ulinastatin for the Treatment of COVID-19 in Hospitalized Patients",,"Not yet recruiting","No Results Available","COVID-19","Drug: Ulinastatin|Drug: Placebo","Time to recovery|COVID-19 disease severity scale score on Day 8|COVID-19 disease severity scale score on Day 15|COVID-19 disease severity scale score on Day 22|COVID-19 disease severity scale score on Day 29|Incidence of mortality at Day 29|Incidence of in-hospital mortality|Number of days alive and not on mechanical ventilator or ECMO in the 28 days following first dose|Number of patients with resolution of symptoms defined as score of 8 on the 8-point ordinal scale at Day 29|Number of patients alive and free of respiratory failure defined as score of 4, 5, 6, 7, or 8 on the 8-point ordinal scale at Day 29|Duration of mechanical ventilation|Duration of ECMO|Duration of noninvasive ventilation|Duration of ICU stay|Duration of hospital stay|Change in oxygen saturation","Stanford University","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","150","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","56639","July 2020","January 2021","January 2021","May 19, 2020",,"June 26, 2020","Stanford University, Stanford, California, United States",,"https://ClinicalTrials.gov/show/NCT04393311"
700,"NCT04392414","Hyperimmune Convalescent Plasma in Moderate and Severe COVID-19 Disease",,"Recruiting","No Results Available","COVID-19","Biological: COVID-19 convalescent hyperimmune plasma|Biological: Non-convalescent fresh frozen plasma (Standard plasma)","The number and proportion of patients with the normal body temperature (≤37.2 C) at the day 1, 2, 3, 4, 5, 6, 7 after the start of therapy|Days before mechanical ventilation|Days of need for oxygen therapy|Days of stay in the ICU|Days of hospitalization|Changes of the titer of the SARS-CoV-2 antibodies in the blood plasma of patients|Dynamics of the cytokine profile|Incidence of the cytokine storm development and the need of administering cytokine storm inhibitors|Dynamics of the level of C-reactive protein|30-day mortality rate","Federal Research Clinical Center of Federal Medical & Biological Agency, Russia","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 2","60","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","CovPlas-Covid19","May 1, 2020","August 1, 2020","September 15, 2020","May 18, 2020",,"June 4, 2020","Federal Research Clinical Center of Federal Medical & Biological Agency, Moscow, Russian Federation",,"https://ClinicalTrials.gov/show/NCT04392414"
701,"NCT04442191","Convalescent Plasma as a Possible Treatment for COVID-19",,"Recruiting","No Results Available","COVID-19","Biological: Convalescent plasma|Biological: Placebo","Oxygen supplementation|28-day and in-hospital mortality rate|Number of participants transferred to the Intensive Care Unit (ICU)|Number of participants intubated|Length of hospital stay in days|Type of respiratory support|C-reactive Protein (CRP)|Lymphocyte count|Length or respiratory support required, in days|Lactate dehydrogenase (LDH)|Ferritin|D-Dimer|White Blood Cell (WBC) Count","University of Illinois at Chicago","All","40 Years and older   (Adult, Older Adult)","Phase 2","50","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","2020-0441","May 5, 2020","May 5, 2021","May 5, 2021","June 22, 2020",,"June 22, 2020","University of Illinois at Chicago, Chicago, Illinois, United States",,"https://ClinicalTrials.gov/show/NCT04442191"
702,"NCT04358211","Expanded Access to Convalescent Plasma to Treat and Prevent Pulmonary Complications Associated With COVID-19",,"Available","No Results Available","COVID-19","Biological: Biological: COVID-19 convalescent plasma",,"Nakhle Saba, MD|Tulane University","All","18 Years and older   (Adult, Older Adult)",,,"Other","Expanded Access:Intermediate-size Population|Treatment IND/Protocol",,"2020-595",,,,"April 24, 2020",,"April 24, 2020","Tulane Medical Center, New Orleans, Louisiana, United States",,"https://ClinicalTrials.gov/show/NCT04358211"
703,"NCT04373096","Enhanced Hood PPE to Minimize COVID-19 Transmission to Front-line Health Care Workers",,"Not yet recruiting","No Results Available","Covid19","Device: current IPAC-UHN PPE|Device: modified IPAC-UHN PPE","Incidence of contamination of any part of the base clothing or exposed skin of the upper body|1) Number of body areas contaminated|2) Number of discrete areas of contamination of <1 cm2 and >1 cm2|3) Visibility during the simulated procedure|4) Ease of intubation procedures when wearing PPE|5) Ease of breathing while wearing PPE|6) Thermal comfort while wearing the PPE|7) Incidence of breaching of doffing procedures","University Health Network, Toronto","All","20 Years to 75 Years   (Adult, Older Adult)","Not Applicable","42","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Prevention","20-5448","June 1, 2020","August 31, 2020","August 31, 2020","May 4, 2020",,"May 21, 2020",,,"https://ClinicalTrials.gov/show/NCT04373096"
704,"NCT04360980","The Effects of Standard Protocol With or Without Colchicine in Covid-19 Infection",,"Recruiting","No Results Available","COVID-19","Drug: Colchicine Tablets","CRPxN/R ratio change|Clinical deterioration by the WHO definition|PCR Viral Load|CT severity involvement index|LDH change","Shahid Beheshti University of Medical Sciences","All","18 Years and older   (Adult, Older Adult)","Phase 2","80","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","SBMU.IR.REC.165423","March 20, 2020","May 20, 2020","May 30, 2020","April 24, 2020",,"April 27, 2020","SBMU, Tehran, Iran, Islamic Republic of|Nooshin Dalili, Tehran, Iran, Islamic Republic of",,"https://ClinicalTrials.gov/show/NCT04360980"
705,"NCT04378920","A Study of Trans Crocetin in Patients With Acute Respiratory Distress Syndrome Due to COVID-19 Disease (LEAF-4L7520/4L6715)","LEAF-4L6715","Recruiting","No Results Available","COVID19|Acute Respiratory Distress Syndrome","Drug: LEAF-4L6715|Drug: LEAF-4L7520","proportion of patients showing an increase of at least 25% of PaO2/FiO2 ratio|proportion of patients with a PaO2/FiO2 ratio above 200 mm Hg|all cause mortality","Institut de Cancerologie Strasbourg Europe|LEAF4Life LLC","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","180","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","2020-003|2020-001393-30|2020-A00900-39","April 14, 2020","July 31, 2020","October 31, 2020","May 7, 2020",,"May 14, 2020","Hôpitaux Universitaires de Strasbourg, Strasbourg, France|Institut de Cancerologie Strasbourg Europe, Strasbourg, France",,"https://ClinicalTrials.gov/show/NCT04378920"
706,"NCT04335136","Recombinant Human Angiotensin-converting Enzyme 2 (rhACE2) as a Treatment for Patients With COVID-19","APN01-COVID-19","Recruiting","No Results Available","COVID-19","Drug: RhACE2 APN01|Drug: Physiological saline solution","Cause of death or invasive mechanical ventilation|LDH level|Mortality|VFD|Time to death","Apeiron Biologics","All","18 Years to 80 Years   (Adult, Older Adult)","Phase 2","200","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","APN01-01-COVID19","April 30, 2020","September 2020","November 2020","April 6, 2020",,"June 16, 2020","Medizinische Universität Innsbruck, Innsbruck, Austria|Kaiser Franz Josef Spital, 4. Medizinische Abteilung mit Infektions- und Tropenmedizin, Wien, Austria|Medizinische Universität Wien, Wien, Austria|The National University Hospital, Rigshospitalet, Copenhagen, Denmark|Herlev Gentofte Hospital, Herlev, Denmark|Nordsjællands Hospital, Hillerød, Denmark|Hvidovre Hospital, Hvidovre, Denmark|Universitätsklinikum Hamburg-Eppendorf, Hamburg, Germany|Klinikum rechts der Isar, Technische Universität München, München, Germany",,"https://ClinicalTrials.gov/show/NCT04335136"
707,"NCT04331366","Bidirectional Oxygenation Valve in the Management of Pulmonary Complications of COVID-19","GO2 PEEP","Recruiting","No Results Available","COVID-19","Device: GO2 PEEP MOUTHPIECE","Change in Oxygen Saturation by Pulse Oximetry|Change in Respiratory Rate|Change in Heart Rate|Change in Blood Pressure|Change in Subjective Work of Breathing|Change in Partial Pressure of Oxygen (PaO2)|Change in Partial Pressure of Carbon Dioxide (PaCO2)|Change in pH|Change in Bicarbonate (HCO3)|Change in Oxygen Saturation (O2Sat) by Arterial Blood Gas Test","Emory University","All","18 Years and older   (Adult, Older Adult)","Not Applicable","5","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care","STUDY00000381","April 8, 2020","August 2020","August 2020","April 2, 2020",,"June 19, 2020","Emory University Hospital, Atlanta, Georgia, United States|Emory St. Joseph's Hospital, Atlanta, Georgia, United States",,"https://ClinicalTrials.gov/show/NCT04331366"
